@relation cpu-weka.filters.unsupervised.instance.RemovePercentage-P33.0

@attribute vendor {adviser,amdahl,apollo,basf,bti,burroughs,c.r.d,cdc,cambex,dec,dg,formation,four-phase,gould,hp,harris,honeywell,ibm,ipl,magnuson,microdata,nas,ncr,nixdorf,perkin-elmer,prime,siemens,sperry,sratus,wang}
@attribute MYCT numeric
@attribute MMIN numeric
@attribute MMAX numeric
@attribute CACH numeric
@attribute CHMIN numeric
@attribute CHMAX numeric
@attribute class numeric

@data

hp,105,2000,4000,8,3,19,33
hp,75,2000,8000,8,3,24,47
hp,75,3000,8000,8,3,48,54
hp,175,256,2000,0,3,24,20
harris,300,768,3000,0,6,24,23
harris,300,768,3000,6,6,24,25
harris,300,768,12000,6,6,24,52
harris,300,768,4500,0,1,24,27
harris,300,384,12000,6,1,24,50
harris,300,192,768,6,6,24,18
harris,180,768,12000,6,1,31,53
honeywell,330,1000,3000,0,2,4,23
honeywell,300,1000,4000,8,3,64,30
honeywell,300,1000,16000,8,2,112,73
honeywell,330,1000,2000,0,1,2,20
honeywell,330,1000,4000,0,3,6,25
honeywell,140,2000,4000,0,3,6,28
honeywell,140,2000,4000,0,4,8,29
honeywell,140,2000,4000,8,1,20,32
honeywell,140,2000,32000,32,1,20,175
honeywell,140,2000,8000,32,1,54,57
honeywell,140,2000,32000,32,1,54,181
honeywell,140,2000,32000,32,1,54,181
honeywell,140,2000,4000,8,1,20,32
ibm,57,4000,16000,1,6,12,82
ibm,57,4000,24000,64,12,16,171
ibm,26,16000,32000,64,16,24,361
ibm,26,16000,32000,64,8,24,350
ibm,26,8000,32000,0,8,24,220
ibm,26,8000,16000,0,8,16,113
ibm,480,96,512,0,1,1,15
ibm,203,1000,2000,0,1,5,21
ibm,115,512,6000,16,1,6,35
ibm,1100,512,1500,0,1,1,18
ibm,1100,768,2000,0,1,1,20
ibm,600,768,2000,0,1,1,20
ibm,400,2000,4000,0,1,1,28
ibm,400,4000,8000,0,1,1,45
ibm,900,1000,1000,0,1,2,18
ibm,900,512,1000,0,1,2,17
ibm,900,1000,4000,4,1,2,26
ibm,900,1000,4000,8,1,2,28
