@relation fishcatch-weka.filters.unsupervised.instance.RemovePercentage-P33.0

@attribute Species {1,2,3,4,5,6,7}
@attribute Length1 numeric
@attribute Length2 numeric
@attribute Length3 numeric
@attribute Height numeric
@attribute Width numeric
@attribute Sex {1,0}
@attribute class numeric

@data

3,21.1,22.5,25,25.6,15.2,0,160
3,22,24,27.2,27.7,14.1,?,169
3,22,23.4,26.7,25.9,13.6,?,161
3,22.1,23.5,26.8,27.6,15.4,0,200
3,23.6,25.2,27.9,25.4,14,?,180
3,24,26,29.2,30.4,15.4,?,290
3,25,27,30.6,28,15.6,0,272
3,29.5,31.7,35,27.1,15.3,?,390
4,13.5,14.7,16.5,41.5,14.1,?,55
4,14.3,15.5,17.4,37.8,13.3,1,60
4,16.3,17.7,19.8,37.4,13.5,1,90
4,17.5,19,21.3,39.4,13.7,1,120
4,18.4,20,22.4,39.7,14.7,?,150
4,19,20.7,23.2,36.8,14.2,?,140
4,19,20.7,23.2,40.5,14.7,0,170
4,19.8,21.5,24.1,40.4,13.1,0,145
4,21.2,23,25.8,40.1,14.2,?,200
4,23,25,28,39.6,14.8,0,273
4,24,26,29,39.2,14.6,0,300
5,9.3,9.8,10.8,16.1,9.7,1,6.7
5,10,10.5,11.6,17,10,0,7.5
5,10.1,10.6,11.6,14.9,9.9,1,7
5,10.4,11,12,18.3,11.5,0,9.7
5,10.7,11.2,12.4,16.8,10.3,1,9.8
5,10.8,11.3,12.6,15.7,10.2,1,8.7
5,11.3,11.8,13.1,16.9,9.8,1,10
5,11.3,11.8,13.1,16.9,8.9,0,9.9
5,11.4,12,13.2,16.7,8.7,0,9.8
5,11.5,12.2,13.4,15.6,10.4,0,12.2
5,11.7,12.4,13.5,18,9.4,0,13.4
5,12.1,13,13.8,16.5,9.1,0,12.2
5,13.2,14.3,15.2,18.9,13.6,0,19.7
5,13.8,15,16.2,18.1,11.6,0,19.9
6,30,32.3,34.8,16,9.7,?,200
6,31.7,34,37.8,15.1,11,0,300
6,32.7,35,38.8,15.3,11.3,?,300
6,34.8,37.3,39.8,15.8,10.1,?,300
6,35.5,38,40.5,18,11.3,?,430
6,36,38.5,41,15.6,9.7,1,345
6,40,42.5,45.5,16,9.5,?,456
6,40,42.5,45.5,15,9.8,?,510
6,40.1,43,45.8,17,11.2,?,540
6,42,45,48,14.5,10.2,?,500
6,43.2,46,48.7,16,10,0,567
6,44.8,48,51.2,15,10.5,0,770
6,48.3,51.7,55.1,16.2,11.2,?,950
6,52,56,59.7,17.9,11.7,?,1250
6,56,60,64,15,9.6,?,1600
6,56,60,64,15,9.6,0,1550
6,59,63.4,68,15.9,11,0,1650
7,7.5,8.4,8.8,24,16,?,5.9
7,12.5,13.7,14.7,24,13.6,?,32
7,13.8,15,16,23.9,15.2,?,40
7,15,16.2,17.2,26.7,15.3,?,51.5
7,15.7,17.4,18.5,24.8,15.9,?,70
7,16.2,18,19.2,27.2,17.3,?,100
7,16.8,18.7,19.4,26.8,16.1,?,78
7,17.2,19,20.2,27.9,15.1,?,80
7,17.8,19.6,20.8,24.7,14.6,?,85
7,18.2,20,21,24.2,13.2,?,85
7,19,21,22.5,25.3,15.8,?,110
7,19,21,22.5,26.3,14.7,?,115
7,19,21,22.5,25.3,16.3,1,125
7,19.3,21.3,22.8,28,15.5,0,130
7,20,22,23.5,26,14.5,0,120
7,20,22,23.5,24,15,?,120
7,20,22,23.5,26,15,?,130
7,20,22,23.5,25,15,?,135
7,20,22,23.5,23.5,17,0,110
7,20.5,22.5,24,24.4,15.1,0,130
7,20.5,22.5,24,28.3,15.1,0,150
7,20.7,22.7,24.2,24.6,15,?,145
7,21,23,24.5,21.3,14.8,?,150
7,21.5,23.5,25,25.1,14.9,?,170
7,22,24,25.5,28.6,14.6,?,225
7,22,24,25.5,25,15,?,145
7,22.6,24.6,26.2,25.7,15.9,?,188
7,23,25,26.5,24.3,13.9,0,180
7,23.5,25.6,27,24.3,15.7,?,197
7,25,26.5,28,25.6,14.8,?,218
7,25.2,27.3,28.7,29,17.9,0,300
7,25.4,27.5,28.9,24.8,15,0,260
7,25.4,27.5,28.9,24.4,15,?,265
7,25.4,27.5,28.9,25.2,15.8,0,250
7,25.9,28,29.4,26.6,14.3,?,250
7,26.9,28.7,30.1,25.2,15.4,0,300
7,27.8,30,31.6,24.1,15.1,0,320
7,30.5,32.8,34,29.5,17.7,?,514
7,32,34.5,36.5,28.1,17.5,?,556
7,32.5,35,37.3,30.8,20.9,0,840
7,34,36.5,39,27.9,17.6,0,685
7,34,36,38.3,27.7,17.6,0,700
7,34.5,37,39.4,27.5,15.9,0,700
7,34.6,37,39.3,26.9,16.2,0,690
7,36.5,39,41.4,26.9,18.1,0,900
7,36.5,39,41.4,26.9,14.5,?,650
7,36.6,39,41.3,30.1,17.8,?,820
7,36.9,40,42.3,28.2,16.8,0,850
7,37,40,42.5,27.6,17,0,900
7,37,40,42.4,29.2,17.6,0,1015
7,37.1,40,42.5,26.2,15.6,0,820
7,39,42,44.6,28.7,15.4,0,1100
7,39.8,43,45.2,26.4,16.1,0,1000
7,40.1,43,45.5,27.5,16.3,0,1100
7,40.2,43.5,46,27.4,17.7,1,1000
7,41.1,44,46.6,26.8,16.3,0,1000
