@relation chscase-census6-weka.filters.unsupervised.instance.RemovePercentage-P33.0

@attribute col_1 numeric
@attribute col_2 numeric
@attribute col_3 numeric
@attribute col_4 numeric
@attribute col_5 numeric
@attribute col_6 numeric
@attribute col_7 numeric

@data

11.453,15.1865,8.7309,10.5601,7.321,9.9439,13.9298
11.2932,5.7638,5.1665,18.7506,11.7465,11.0565,11.7344
1.405,11.5304,10.6554,9.8447,30.4948,12.13,12.7232
2.011,6.041,4.9915,13.6763,11.4433,12.546,14.1611
2.279,2.7208,17.7791,9.7135,10.5516,11.4957,14.7954
8.9138,12.3982,14.6527,11.1671,9.5572,13.9652,12.0689
6.9028,6.3193,13.9474,12.9727,8.9427,11.2837,12.1519
15.0769,12.8473,9.9407,7.532,13.9141,8.3141,10.4112
0.5636,4.2978,10.7487,10.9037,9.7953,9.0344,14.2925
7.8241,5.4868,6.3098,10.2702,11.1974,10.0247,12.4366
1.6143,8.9214,21.8479,7.8572,7.3846,9.1016,11.2158
1.0981,15.0852,11.0187,11.7121,21.1507,24.5554,13.4221
14.215,3.3468,12.5462,9.4049,9.5871,12.0075,12.545
18.1373,5.0679,16.3264,9.0184,11.0081,13.6065,12.7847
8.5935,6.306,11.6544,31.4467,10.3805,10.7579,15.0697
33.3507,2.7325,13.9698,8.4193,12.581,15.467,16.451
7.3695,8.3199,10.8594,17.9615,12.6956,9.5905,11.7241
3.9223,10.9769,7.1812,9.8407,9.687,9.1533,14.6285
12.3383,5.8681,18.8727,10.0456,10.3997,12.0868,12.6718
3.7144,13.1174,83.7629,10.1401,10.5118,8.2439,11.1994
0.5975,9.6068,31.3197,9.9179,8.3316,19.4434,17.2991
10.8817,1.5335,7.1359,10.1928,13.674,12.3706,15.3418
2.3052,10.8418,30.3943,8.1235,10.9766,11.3474,12.0474
2.4141,9.393,8.6165,10.2893,9.1835,13.5736,12.2267
2.4869,12.9667,8.3829,9.9392,9.9225,16.8146,12.1469
8.8714,11.3252,4.8781,6.7859,8.3887,12.3129,14.6317
31.474,2.391,9.7013,9.037,15.9398,8.5559,16.6699
15.8194,5.2403,11.7254,10.2781,9.521,10.0742,11.7824
4.2363,15.3448,6.9037,9.8972,11.1304,18.4716,12.2051
3.2244,6.4375,8.8707,12.3337,11.7477,15.7173,10.5626
5.5451,1.9739,13.7354,14.7671,15.5907,9.6133,14.0732
0.7651,3.7383,16.2591,8.2305,10.2477,11.0875,11.2681
5.5508,17.3998,9.5121,7.4274,11.8647,9.1325,16.2032
9.9257,5.2216,7.2901,10.1039,11.3479,10.4325,14.0018
3.0773,10.9127,11.0876,7.8416,8.2855,9.4186,13.8832
3.5157,12.9606,11.8397,9.5314,13.4466,13.8185,11.8137
9.4031,6.3509,6.4835,12.3291,9.6248,11.8017,12.1648
8.9124,2.2288,5.9079,7.7173,11.2165,12.199,11.9613
1.1816,12.863,6.9639,8.001,9.9413,10.6494,11.2876
12.3524,3.3046,7.8563,8.9737,11.2226,8.1817,10.4405
0.2397,15.9174,10.2723,10.0059,10.4547,11.7856,11.4043
2.4848,4.3205,5.5318,13.475,15.0874,11.2649,11.1135
4.1663,27.7939,6.604,9.8769,13.3531,9.0816,14.5883
18.1663,3.1239,10.2948,9.4365,14.6301,9.1846,12.9992
4.6521,8.2859,9.1286,8.9596,30.3435,19.6299,11.4527
0.0064,5.3725,13.6629,8.6784,8.3916,13.0863,11.2401
1.6992,26.6923,11.9649,12.671,8.9738,13.7097,12.2543
19.9744,15.7922,11.109,8.703,9.108,12.1202,12.0233
16.0103,26.05,4.8875,9.7857,8.9432,15.5092,13.9874
19.985,4.5998,7.5837,13.8156,12.7291,11.3898,10.6712
0.9758,8.7309,10.8148,12.3444,10.5236,9.6659,11.8256
7.7464,6.1099,7.4099,9.735,9.5443,11.0574,12.3532
9.8055,7.7922,13.9627,6.352,18.2746,9.9552,13.3001
0.7389,2.8774,8.1115,11.0427,12.5399,10.793,10.9692
0.9001,20.4165,7.5028,10.9167,10.9455,10.9205,11.0193
27.0299,9.0459,11.6312,9.692,10.5936,8.6516,12.1067
20.3081,6.1773,9.2947,9.0511,29.9197,10.6823,13.1841
1.8993,13.1269,7.5567,8.3011,13.8795,11.0455,13.2858
1.7268,5.0778,9.0967,14.1887,8.7445,17.5623,12.2426
7.6905,10.2553,11.7447,7.2541,12.3967,12.1807,11.2077
11.5075,2.5067,11.5401,12.1861,15.5514,8.2552,14.0941
10.9347,8.6829,7.7334,11.8289,9.5637,11.7646,10.9076
3.252,4.6915,7.2515,12.0127,10.804,9.1156,12.9451
12.3645,11.0314,9.2599,6.3496,8.0052,12.5236,11.0279
15.5429,7.7438,10.1737,10.1809,13.2619,9.9158,12.4695
2.2656,8.8048,11.7778,11.6625,11.4135,13.634,11.6939
3.742,11.7432,9.4608,12.4086,8.325,13.4998,13.3357
10.5168,101.919,4.9807,9.2582,16.2688,13.5227,13.2785
14.9942,8.5651,47.4949,7.2433,16.5174,23.8405,10.9481
6.842,6.3934,10.4328,10.4975,30.3429,10.9627,12.6046
1.2643,13.0633,7.685,10.5628,10.831,10.5086,11.3624
7.204,6.4591,12.7499,8.9016,10.3369,11.2344,11.4697
2.168,40.8602,13.1704,12.4099,31.2951,8.764,12.0877
10.3959,2.3792,8.8401,5.8642,9.7123,11.1407,13.1593
3.288,36.5441,7.2587,21.7964,9.0209,9.2717,11.6458
10.9411,5.5923,8.4762,19.0762,9.2427,13.3143,14.5684
1.7918,2.2055,10.2055,28.4934,9.8106,8.48,11.7801
3.0512,9.4779,16.4239,8.0076,9.4943,10.3377,11.2083
9.3388,5.035,8.1844,9.4124,14.0292,11.7043,12.2647
14.396,6.8411,5.8101,41.282,8.992,14.0436,11.488
18.0637,7.4274,9.2644,10.8788,10.9497,11.0212,11.3258
16.0336,4.6163,8.7767,9.573,18.3835,11.8592,11.692
3.7137,13.4488,6.1648,10.8429,9.955,9.2142,13.6711
31.6006,11.3985,14.3677,6.6923,10.8151,12.2357,12.8555
0.4985,12.8717,8.8619,7.862,11.1777,8.0986,14.0967
8.7575,17.0867,7.0634,6.6544,9.7216,11.0647,11.9737
2.1079,10.0988,8.3337,9.5455,9.122,10.1489,14.7851
4.0772,8.63,9.6162,11.1747,11.8547,13.2319,10.6999
18.9215,13.1829,18.3809,15.5134,12.2014,12.4009,12.8844
1.9905,4.7369,11.4213,10.984,16.2085,10.0128,10.8746
14.3133,11.1113,9.344,13.2588,12.6548,18.6115,11.471
1.3421,28.6438,9.8044,7.9474,9.4931,9.9947,11.4365
1.2601,13.8498,10.9325,10.8599,9.4864,10.197,11.5803
60.7525,10.8372,8.2881,9.9245,12.015,13.3467,10.9329
7.1771,6.1098,7.8467,10.3992,8.5096,12.0407,9.8809
0.2751,18.4069,12.5372,13.573,10.1476,13.5279,11.1422
6.6291,8.4144,6.7499,9.4119,13.1693,12.6058,13.2575
7.1651,5.5679,8.6788,12.5915,9.8133,12.099,12.0301
0.3514,3.1095,13.3891,11.5365,11.8274,11.8146,12.0383
12.0753,5.195,9.773,9.0993,16.572,15.6693,11.6118
12.438,30.2538,14.0721,11.7703,10.6809,10.705,14.0113
8.1565,3.3707,20.2582,6.4021,8.1282,10.1177,11.7034
13.2844,4.6119,10.5438,9.0137,12.6496,10.1713,11.6764
19.1612,8.8965,8.0404,12.7837,7.198,11.7119,11.4983
1.8067,2.7821,9.6059,9.7566,9.0434,11.1499,13.0526
6.1603,13.6102,14.6828,11.1997,29.6195,11.5276,12.7448
3.4627,2.9259,10.7497,6.6948,9.6301,10.1378,12.9091
3.969,7.012,6.6329,18.8739,12.3989,11.7902,11.6612
12.3433,7.2877,12.8877,10.3318,23.971,11.5334,11.3547
0.3246,13.404,9.1197,18.4282,8.9918,9.932,12.5158
2.4452,11.2308,12.9676,7.4593,10.5372,18.4384,12.0461
2.1093,10.5088,5.6328,9.9688,7.9183,13.0447,15.6881
2.4975,14.6485,9.7712,8.9296,15.0181,8.8726,12.5414
13.0398,4.0999,6.1056,12.9707,9.1147,13.6868,9.6671
2.5717,11.5008,8.2067,8.9386,9.6103,9.1881,11.2608
12.1212,6.6647,10.1765,8.2239,9.7387,14.511,13.0289
8.0327,3.7342,8.4079,11.8543,12.0878,10.8242,14.3955
11.366,16.6835,7.0151,12.5096,11.5228,22.7536,14.803
3.9923,4.0552,10.1448,10.2347,15.9481,11.2076,13.4009
9.4823,5.1475,10.3126,11.5755,11.4126,14.1531,14.6583
7.6389,10.815,9.5548,11.2622,10.6362,13.0214,12.62
19.4023,24.4027,11.3129,14.6343,9.5115,14.7684,11.7775
2.5618,13.5792,14.6494,8.7829,10.1163,22.6413,11.7504
4.5821,20.3003,16.7894,13.6851,10.9276,12.2041,13.5545
66.9694,15.1295,8.7741,41.2179,9.6462,22.5386,14.5758
7.2613,7.4697,6.1062,24.6684,10.5233,9.5658,10.779
3.2336,11.122,6.2233,10.4227,9.7321,9.79,12.4388
0.0205,4.7937,20.1215,7.1969,11.6419,10.5934,10.4424
4.5516,3.7797,13.2316,9.8752,10.6145,7.659,13.8153
20.388,21.2863,10.5952,8.3115,23.5478,11.1344,12.499
14.6223,5.0982,6.4688,28.5502,8.3311,13.5212,13.6177
3.3616,14.4555,13.5428,13.2898,11.9629,18.2243,11.0355
17.5122,2.1126,13.0772,9.242,20.6773,9.538,11.0667
2.733,6.4161,10.068,10.3007,9.0829,18.7618,10.6018
1.0076,9.6991,14.012,18.8095,16.7686,8.05,15.4479
7.0456,9.7263,5.2448,10.5558,16.7028,12.8872,11.9336
4.2745,7.3827,10.5877,7.5941,8.7896,10.7471,13.6126
7.6523,7.7079,9.8826,20.8162,16.9146,10.8832,12.9426
5.0749,6.2034,7.0212,11.1788,18.2216,15.4745,12.0961
4.1557,4.2722,4.8267,9.5636,8.9989,10.6911,11.4506
0.0453,11.6999,6.4987,9.3124,9.1809,10.8577,10.5653
1.9686,4.8321,9.6351,6.4565,14.8904,10.8076,14.3952
0.8181,1.8401,10.2087,7.7662,7.8145,11.3113,12.5138
20.8427,3.6152,12.6246,14.6107,9.1281,9.0992,9.8292
0.8054,5.6455,64.9326,10.5515,12.3986,13.8931,12.824
2.2366,7.6901,7.6175,11.6154,23.7062,22.1454,11.7252
