@relation diggle-Table_A2_Wool_prices-weka.filters.unsupervised.instance.RemovePercentage-P33.0

@attribute col_1 {76,77,78,79,80,81,82,83,84}
@attribute col_2 numeric
@attribute col_3 numeric
@attribute col_4 numeric
@attribute col_5 numeric
@attribute col_6 numeric
@attribute col_7 numeric
@attribute col_8 numeric
@attribute col_9 numeric

@data

79,6,162,322,371,1.1522,5.7746,5.9162,0.1416
79,7,163,330,379,1.1485,5.7991,5.9375,0.1384
79,8,164,343,400,1.1662,5.8377,5.9915,0.1538
79,9,165,354,405,1.1441,5.8693,6.0039,0.1346
79,10,166,356,412,1.1573,5.8749,6.021,0.1461
79,11,167,366,427,1.1667,5.9026,6.0568,0.1542
79,12,168,364,427,1.1731,5.8972,6.0568,0.1596
79,13,169,371,434,1.1698,5.9162,6.073,0.1568
79,14,170,369,448,1.2141,5.9108,6.1048,0.194
79,18,174,364,448,1.2308,5.8972,6.1048,0.2076
79,19,175,363,469,1.292,5.8944,6.1506,0.2562
79,20,176,362,469,1.2956,5.8916,6.1506,0.259
79,21,177,364,469,1.2885,5.8972,6.1506,0.2534
79,22,178,361,469,1.2992,5.8889,6.1506,0.2617
79,23,179,360,469,1.3028,5.8861,6.1506,0.2645
79,24,180,362,462,1.2762,5.8916,6.1356,0.244
79,25,181,363,462,1.2727,5.8944,6.1356,0.2412
79,26,182,361,462,1.2798,5.8889,6.1356,0.2467
79,31,187,364,462,1.2692,5.8972,6.1356,0.2384
79,34,190,369,464,1.2575,5.9108,6.1399,0.2291
79,35,191,365,464,1.2712,5.8999,6.1399,0.24
79,36,192,366,464,1.2678,5.9026,6.1399,0.2373
79,37,193,368,469,1.2745,5.9081,6.1506,0.2425
79,38,194,370,469,1.2676,5.9135,6.1506,0.2371
79,39,195,382,490,1.2827,5.9454,6.1944,0.249
79,40,196,408,521,1.277,6.0113,6.2558,0.2445
79,41,197,414,536,1.2947,6.0259,6.2841,0.2582
79,42,198,400,536,1.34,5.9915,6.2841,0.2926
79,43,199,405,533,1.316,6.0039,6.2785,0.2746
79,44,200,397,525,1.3224,5.9839,6.2634,0.2795
79,45,201,394,519,1.3173,5.9764,6.2519,0.2755
79,46,202,397,523,1.3174,5.9839,6.2596,0.2757
79,47,203,388,517,1.3325,5.961,6.248,0.287
79,48,204,379,509,1.343,5.9375,6.2324,0.2949
79,49,205,377,507,1.3448,5.9322,6.2285,0.2963
79,50,206,380,500,1.3158,5.9402,6.2146,0.2744
80,2,210,383,510,1.3316,5.948,6.2344,0.2864
80,3,211,394,524,1.3299,5.9764,6.2615,0.2851
80,4,212,408,538,1.3186,6.0113,6.2879,0.2766
80,5,213,413,538,1.3027,6.0234,6.2879,0.2645
80,7,215,433,573,1.3233,6.0707,6.3509,0.2802
80,13,221,415,570,1.3735,6.0283,6.3456,0.3173
80,14,222,414,566,1.3671,6.0259,6.3386,0.3127
80,15,223,414,567,1.3696,6.0259,6.3404,0.3145
80,16,224,412,584,1.4175,6.021,6.3699,0.3489
80,17,225,405,585,1.4444,6.0039,6.3716,0.3677
80,18,226,396,564,1.4242,5.9814,6.3351,0.3537
80,19,227,396,565,1.4268,5.9814,6.3368,0.3554
80,20,228,405,573,1.4148,6.0039,6.3509,0.347
80,22,230,407,587,1.4423,6.0088,6.375,0.3662
80,23,231,409,585,1.4303,6.0137,6.3716,0.3579
80,24,232,403,578,1.4342,5.9989,6.3596,0.3607
80,25,233,402,578,1.4378,5.9965,6.3596,0.3631
80,26,234,401,578,1.4414,5.994,6.3596,0.3656
80,31,239,396,576,1.4545,5.9814,6.3561,0.3747
80,35,243,398,563,1.4146,5.9865,6.3333,0.3468
80,36,244,394,557,1.4137,5.9764,6.3226,0.3462
80,37,245,396,550,1.3889,5.9814,6.3099,0.3285
80,38,246,404,564,1.396,6.0014,6.3351,0.3337
80,39,247,408,564,1.3824,6.0113,6.3351,0.3238
80,40,248,401,564,1.4065,5.994,6.3351,0.3411
80,41,249,398,548,1.3769,5.9865,6.3063,0.3198
80,42,250,392,535,1.3648,5.9713,6.2823,0.311
80,43,251,393,542,1.3791,5.9738,6.2953,0.3215
80,44,252,397,536,1.3501,5.9839,6.2841,0.3002
80,45,253,400,536,1.34,5.9915,6.2841,0.2926
80,46,254,403,540,1.34,5.9989,6.2916,0.2927
80,47,255,416,543,1.3053,6.0307,6.2971,0.2664
80,48,256,415,544,1.3108,6.0283,6.2989,0.2706
80,49,257,414,536,1.2947,6.0259,6.2841,0.2582
80,50,258,414,526,1.2705,6.0259,6.2653,0.2394
81,3,263,415,528,1.2723,6.0283,6.2691,0.2408
81,4,264,425,530,1.2471,6.0521,6.2729,0.2208
81,5,265,427,534,1.2506,6.0568,6.2804,0.2236
81,6,266,426,526,1.2347,6.0544,6.2653,0.2109
81,7,267,421,525,1.247,6.0426,6.2634,0.2208
81,8,268,420,525,1.25,6.0403,6.2634,0.2231
