@relation visualizing-galaxy-weka.filters.unsupervised.instance.RemovePercentage-P33.0

@attribute eastwest numeric
@attribute northsouth numeric
@attribute angle numeric
@attribute radialposition numeric
@attribute velocity numeric

@data

8.49332,-22.125856,111,23.7,1738
7.669074,-19.978621,111,21.399999,1732
6.844828,-17.831387,111,19.1,1734
6.020581,-15.684151,111,16.799999,1723
5.196335,-13.536916,111,14.5,1706
4.372089,-11.389681,111,12.2,1665
3.547843,-9.242446,111,9.9,1677
2.68776,-7.001853,111,7.5,1679
1.863513,-4.854618,111,5.2,1601
1.039267,-2.707383,111,2.9,1629
0.215021,-0.560148,111,0.6,1621
-0.609226,1.587087,111,-1.7,1574
-1.433472,3.734322,111,-4,1559
-2.257718,5.881557,111,-6.3,1540
-3.081964,8.028792,111,-8.600001,1525
-3.90621,10.176026,111,-10.9,1517
-4.730457,12.323261,111,-13.2,1506
-5.554703,14.470496,111,-15.5,1481
-6.378949,16.617731,111,-17.799999,1465
-7.203196,18.764967,111,-20.1,1468
-8.027442,20.912201,111,-22.399999,1465
-8.887525,23.152794,111,-24.799999,1454
-9.711772,25.30003,111,-27.1,1448
-10.536017,27.447264,111,-29.399999,1441
-11.360264,29.5945,111,-31.7,1441
-12.18451,31.741734,111,-33.999999,1430
-13.008757,33.888969,111,-36.3,1434
-13.833002,36.036201,111,-38.599997,1445
-14.657249,38.183441,111,-40.900002,1464
-15.481496,40.330677,111,-43.200003,1471
-16.305742,42.477909,111,-45.5,1442
-17.129988,44.625145,111,-47.8,1436
-17.954233,46.772377,111,-50.099997,1434
-18.778481,48.919617,111,-52.400002,1428
25.889923,24.142742,43,35.400002,1558
24.207806,22.574144,43,33.099998,1563
22.452559,20.937349,43,30.7,1581
20.84358,19.436953,43,28.499999,1548
19.161467,17.868357,43,26.199999,1572
17.479353,16.299761,43,23.9,1574
15.79724,14.731165,43,21.6,1578
14.115126,13.162568,43,19.299999,1576
12.433013,11.593972,43,17,1583
10.750899,10.025375,43,14.7,1584
9.068786,8.456779,43,12.4,1566
7.313537,6.819983,43,10,1568
5.704559,5.319587,43,7.8,1577
3.94931,3.682791,43,5.4,1587
2.194061,2.045995,43,3,1606
0.511948,0.477399,43,0.7,1593
-1.097031,-1.022997,43,-1.5,1584
-2.779144,-2.591594,43,-3.8,1595
-4.461257,-4.16019,43,-6.1,1617
-6.070236,-5.660586,43,-8.3,1552
-7.825484,-7.297382,43,-10.7,1597
-9.507598,-8.865978,43,-13,1615
-11.189712,-10.434575,43,-15.3,1626
-12.871825,-12.003171,43,-17.6,1626
-14.553938,-13.571767,43,-19.899999,1586
-16.236053,-15.140364,43,-22.200001,1624
-23.110777,-21.551149,43,-31.600001,1600
-24.719755,-23.051544,43,-33.8,1585
1.975958,-45.256886,92.5,45.300001,1738
1.775309,-40.661263,92.5,40.7,1690
1.674985,-38.363453,92.5,38.400001,1729
1.57466,-36.065639,92.5,36.099999,1719
1.474335,-33.76783,92.5,33.8,1702
1.374011,-31.470018,92.5,31.499999,1754
1.273686,-29.172209,92.5,29.200001,1741
1.173362,-26.874397,92.5,26.9,1736
1.073037,-24.576586,92.5,24.6,1731
0.972712,-22.278774,92.5,22.299999,1725
0.872388,-19.980965,92.5,20,1710
0.767701,-17.583248,92.5,17.599999,1673
0.667377,-15.285438,92.5,15.3,1669
0.567052,-12.987627,92.5,13,1641
0.466727,-10.689816,92.5,10.7,1675
0.366403,-8.392005,92.5,8.4,1681
0.266078,-6.094194,92.5,6.1,1645
0.165754,-3.796383,92.5,3.8,1594
0.065429,-1.498572,92.5,1.5,1583
-0.034896,0.799239,92.5,-0.8,1599
-0.13522,3.097049,92.5,-3.1,1578
-0.235545,5.39486,92.5,-5.4,1548
-0.335869,7.692671,92.5,-7.7,1543
-0.436194,9.990482,92.5,-10,1537
-0.536518,12.288293,92.5,-12.3,1543
-0.636843,14.586104,92.5,-14.6,1519
-0.74153,16.98382,92.5,-17,1500
-0.841854,19.28163,92.5,-19.299999,1488
-0.942179,21.579441,92.5,-21.599999,1486
-1.042503,23.877253,92.5,-23.9,1483
-1.142828,26.175064,92.5,-26.200001,1481
-1.243152,28.472874,92.5,-28.499999,1485
-1.343477,30.770685,92.5,-30.8,1480
-1.443802,33.068493,92.5,-33.099997,1479
-1.544126,35.36631,92.5,-35.400003,1505
-1.644451,37.66412,92.5,-37.700002,1482
-1.744776,39.961929,92.5,-40,1481
-1.8451,42.259739,92.5,-42.299999,1489
24.853218,49.847843,63.5,55.699999,1531
23.826963,47.789497,63.5,53.400002,1533
22.800707,45.731144,63.5,51.099998,1539
21.729834,43.583305,63.5,48.700002,1526
20.703579,41.524956,63.5,46.400001,1551
19.677322,39.466602,63.5,44.099997,1549
18.651068,37.408257,63.5,41.8,1532
16.553938,33.202065,63.5,37.099999,1538
15.572305,31.233212,63.5,34.900003,1550
14.546048,29.174858,63.5,32.599998,1536
13.475174,27.027018,63.5,30.2,1519
12.448918,24.968668,63.5,27.899999,1536
11.422665,22.91032,63.5,25.600001,1535
10.396409,20.851971,63.5,23.3,1536
9.370154,18.793621,63.5,21,1533
8.3439,16.735273,63.5,18.700001,1528
7.317644,14.676923,63.5,16.399999,1539
6.291389,12.618575,63.5,14.100001,1546
5.265134,10.560225,63.5,11.8,1552
4.238879,8.501877,63.5,9.5,1557
3.212624,6.443527,63.5,7.2,1573
2.186369,4.385179,63.5,4.9,1553
1.160114,2.326829,63.5,2.6,1576
0.133859,0.26848,63.5,0.3,1591
-0.937015,-1.879362,63.5,-2.1,1591
-1.96327,-3.937711,63.5,-4.4,1624
-2.989525,-5.99606,63.5,-6.7,1633
-4.01578,-8.054409,63.5,-9,1597
-5.042036,-10.112759,63.5,-11.3,1605
-6.06829,-12.171107,63.5,-13.6,1629
-7.049925,-14.139963,63.5,-15.8,1658
-8.07618,-16.198313,63.5,-18.100001,1664
-9.147056,-18.346155,63.5,-20.500001,1667
-10.173309,-20.404503,63.5,-22.799999,1671
-11.199565,-22.462852,63.5,-25.1,1687
-12.22582,-24.521202,63.5,-27.4,1682
-13.252075,-26.579552,63.5,-29.700001,1668
-14.27833,-28.637899,63.5,-32,1673
-15.304585,-30.696247,63.5,-34.299998,1684
-16.330839,-32.754597,63.5,-36.599999,1668
-17.357096,-34.812946,63.5,-38.9,1618
-18.38335,-36.871296,63.5,-41.2,1658
-19.409605,-38.929646,63.5,-43.500001,1644
-20.43586,-40.987991,63.5,-45.799998,1647
-21.462114,-43.046341,63.5,-48.099998,1642
-22.488371,-45.104694,63.5,-50.400003,1616
29.48414,6.536477,12.5,30.200001,1629
27.0434,5.995378,12.5,27.7,1610
25.090809,5.562498,12.5,25.700001,1603
22.650068,5.021399,12.5,23.200001,1613
20.404587,4.523588,12.5,20.9,1603
18.159105,4.025777,12.5,18.6,1606
15.913624,3.527966,12.5,16.299999,1603
13.765774,3.051799,12.5,14.1,1608
11.422663,2.532343,12.5,11.699999,1613
9.177182,2.034532,12.5,9.4,1616
6.931702,1.536721,12.5,7.1,1615
4.588591,1.017266,12.5,4.7,1611
2.44074,0.541099,12.5,2.5,1580
0.09763,0.021644,12.5,0.1,1580
-2.050221,-0.454523,12.5,-2.1,1586
-4.198073,-0.93069,12.5,-4.3,1591
-6.638813,-1.471789,12.5,-6.8,1592
-8.884295,-1.969601,12.5,-9.100001,1562
